Time (s),X (hPa)
-0.575217333,1004.19632
0.425358667,1004.198761
1.425935667,1004.201126
2.426515667,1004.209137
3.427093667,1004.214554
4.427666667,1004.215469
4.978614667,1004.215469
5.979190667,1004.212036
6.979768667,1004.208527
7.980345667,1004.200516
8.980923667,1004.195328
9.981501667,1004.192505
10.98207367,1004.1922
11.98264867,1004.1922
12.98322867,1004.192429
13.98380467,1004.196014
14.98437667,1004.199295
15.98495567,1004.204407
16.98553067,1004.20723
17.98610567,1004.212418
18.98668567,1004.216843
19.98726167,1004.219818
20.98784067,1004.22348
21.98841267,1004.226532
22.98899167,1004.229584
23.98974467,1004.229584
24.99014567,1004.231873
25.99072667,1004.233856
26.99129967,1004.234161
27.99187467,1004.235535
28.99244867,1004.237823
29.99302667,1004.238663
30.99360667,1004.240875
31.99418067,1004.242859
32.99475767,1004.242859
33.99533067,1004.242401
34.99590967,1004.242249
35.99648467,1004.238586
36.99705967,1004.234467
37.99764067,1004.232483
38.99820967,1004.229202
39.99879167,1004.224854
40.99936967,1004.219208
41.99994567,1004.215393
43.00051967,1004.211884
44.00109467,1004.205627
45.00167467,1004.201431
46.00224967,1004.198456
47.00282967,1004.195251
48.00340367,1004.190979
49.00397867,1004.186707
50.00456067,1004.186707
51.00513067,1004.187775
52.00570767,1004.189606
53.00628267,1004.19342
54.00685867,1004.199677
55.00743667,1004.202194
56.00801567,1004.204025
57.00858967,1004.204712
58.00916667,1004.207458
59.00986667,1004.209137
60.01032267,1004.209137
61.01089567,1004.207764
62.01146967,1004.206848
63.01204767,1004.205093
64.01262067,1004.203186
65.01319867,1004.203186
66.01377367,1004.206314
67.01435267,1004.208221
68.01492767,1004.209747
69.01550267,1004.211578
70.01607867,1004.211578
71.01665467,1004.211197
72.01723367,1004.2099
73.01780967,1004.208298
74.01838767,1004.20578
75.01896467,1004.201813
76.01954067,1004.198761
77.02011467,1004.195938
78.02069367,1004.194641
79.02126667,1004.191132
80.02184567,1004.190598
81.02242467,1004.189987
82.02299567,1004.189148
83.02357367,1004.18602
84.02415067,1004.184952
85.02472667,1004.184952
86.02530167,1004.18541
87.02588067,1004.185867
88.02645367,1004.188843
89.02703467,1004.189682
90.02760767,1004.189682
91.02818567,1004.188614
92.02875467,1004.187393
93.02969867,1004.186325
94.02999567,1004.186096
95.03049067,1004.184113
96.03106667,1004.184036
97.03164367,1004.181366
98.03221767,1004.181366
99.03279567,1004.181442
100.0333737,1004.181442
101.0339437,1004.181366
102.0345267,1004.180756
103.0350977,1004.181061
104.0356757,1004.181061
105.0362527,1004.181747
106.0368267,1004.181976
107.0374047,1004.183884
108.0379797,1004.184723
109.0385587,1004.185028
110.0391317,1004.187775
111.0397097,1004.189148
112.0402877,1004.189148
113.0408677,1004.18869
114.0414427,1004.187775
115.0420207,1004.183426
116.0425927,1004.180374
117.0431697,1004.177704
118.0437457,1004.174347
119.0443217,1004.17099
120.0449047,1004.17038
121.0454777,1004.17038
122.0460567,1004.171448
123.0466277,1004.174194
124.0472057,1004.17572
125.0477817,1004.177704
126.0483587,1004.177704
127.0489337,1004.177704
128.0495097,1004.177246
129.0500877,1004.175797
130.0506607,1004.173737
131.0512387,1004.172592
132.0521597,1004.172592
133.0526477,1004.17305
134.0529697,1004.174957
135.0535447,1004.176636
136.0541197,1004.178009
137.0546957,1004.180603
138.0552767,1004.181595
139.0558507,1004.181824
140.0564317,1004.185486
141.0570017,1004.188843
142.0575807,1004.191284
143.0581547,1004.194107
144.0587297,1004.19548
145.0593077,1004.195633
146.0598857,1004.195633
147.0604617,1004.193573
148.0610357,1004.190598
149.0616137,1004.189911
150.0621877,1004.189529
151.0627677,1004.185562
152.0633407,1004.183044
153.0639217,1004.181366
154.0644967,1004.181366
155.0650717,1004.181976
156.0656507,1004.185562
157.0662297,1004.185562
158.0667927,1004.178848
159.0673757,1004.161224
160.0679527,1004.132538
161.0685287,1004.103394
162.0691077,1004.076462
163.0696807,1004.056473
164.0702567,1004.042358
165.0708337,1004.040756
166.0714067,1004.040756
167.0719797,1004.039154
168.0725617,1004.038467
169.0731387,1004.037094
170.0737147,1004.034882
171.0742927,1004.029541
172.0748677,1004.023361
173.0754467,1004.011917
174.0760197,1004.003372
175.0765977,1003.992767
176.0771727,1003.983154
177.0777537,1003.97438
178.0783257,1003.96965
179.0789047,1003.964233
180.0794787,1003.961029
181.0800547,1003.958588
182.0806317,1003.957443
183.0812107,1003.955536
184.0817857,1003.952637
185.0823607,1003.948898
186.0829357,1003.945313
187.0835147,1003.935394
188.0844027,1003.924026
189.0846697,1003.911514
190.0852407,1003.903046
191.0858187,1003.894043
192.0863937,1003.890152
193.0869687,1003.890076
194.0875417,1003.889236
195.0881217,1003.886414
196.0886977,1003.88504
197.0892717,1003.883438
198.0898487,1003.880234
199.0904297,1003.880157
200.0910017,1003.878632
201.0915797,1003.877182
202.0921577,1003.874207
203.0927307,1003.873138
204.0933077,1003.870239
205.0938847,1003.868942
206.0944617,1003.86528
207.0950367,1003.861084
208.0956127,1003.854752
209.0961877,1003.845291
210.0967707,1003.836212
211.0973487,1003.826675
212.0979187,1003.817749
213.0984957,1003.808365
214.0990727,1003.801498
215.0996477,1003.796082
216.1002287,1003.791885
217.1008047,1003.7883
218.1013807,1003.784714
219.1019537,1003.783875
220.1025297,1003.781662
221.1031087,1003.779373
222.1036827,1003.779373
223.1042617,1003.782654
224.1048367,1003.783188
225.1054137,1003.784714
226.1059907,1003.787308
227.1065637,1003.787308
228.1071427,1003.786087
229.1081877,1003.782654
230.1084037,1003.780823
231.1088707,1003.775482
232.1094497,1003.768768
233.1100177,1003.761292
234.1105987,1003.752213
235.1111737,1003.739395
236.1117507,1003.728027
237.1123277,1003.712082
238.1129077,1003.699493
239.1134857,1003.689423
240.1140597,1003.684692
241.1146377,1003.682098
242.1152107,1003.682098
243.1157867,1003.68454
244.1163617,1003.687668
245.1169407,1003.689728
246.1175177,1003.68988
247.1180917,1003.689728
248.1186697,1003.687515
249.1192447,1003.685532
250.1198247,1003.68042
251.1203997,1003.670197
252.1209767,1003.657379
253.1215517,1003.644257
254.1221297,1003.628998
255.1227047,1003.615494
256.1232837,1003.607864
257.1238627,1003.603668
258.1244387,1003.599091
259.1250097,1003.59787
260.1255887,1003.595886
261.1261657,1003.595886
262.1267387,1003.594894
263.1273157,1003.594131
264.1278917,1003.588028
265.1284677,1003.584824
266.1290457,1003.582001
267.1296217,1003.577118
268.1301967,1003.577118
269.1307797,1003.578262
270.1313507,1003.578262
271.1319277,1003.577957
272.1325037,1003.577194
273.1330807,1003.574371
274.1336557,1003.573837
275.1342317,1003.573837
276.1348087,1003.576202
277.1353847,1003.580246
278.1359607,1003.587265
279.1365377,1003.593597
280.1371117,1003.597641
281.1376907,1003.601761
282.1382657,1003.604431
283.1388467,1003.604965
284.1397907,1003.606644
285.1401507,1003.610229
286.1405727,1003.610229
287.1411497,1003.608475
288.1417227,1003.60817
289.1423007,1003.60817
290.1428777,1003.607483
291.1434567,1003.602753
292.1440297,1003.602066
293.1446047,1003.597946
294.1451877,1003.596268
295.1457597,1003.596268
296.1463387,1003.598022
297.1469147,1003.600922
298.1474887,1003.605194
299.1480707,1003.605576
300.1486427,1003.606873
301.1492217,1003.606873
302.1497987,1003.601761
303.1503727,1003.587036
304.1509477,1003.574219
305.1515227,1003.558807
306.1521007,1003.545151
307.1526697,1003.534622
308.1532507,1003.531494
309.1538257,1003.531113
310.1544057,1003.525848
311.1549827,1003.516541
312.1555547,1003.507843
313.1561337,1003.500137
314.1567087,1003.488312
315.1572877,1003.48381
316.1578637,1003.483658
317.1584367,1003.483658
318.1590147,1003.485794
319.1595917,1003.48938
320.1601697,1003.489532
321.1607467,1003.491516
322.1613217,1003.492126
323.1618977,1003.492126
