Time (s),X (µT),Y (µT),Z (µT)
0.093176667,-8.950967789,-39.18862915,-9.995910645
0.423640667,-9.516607285,-38.65710449,-9.582458496
0.754104667,-10.52287102,-39.88616943,-7.13067627
1.084568583,-13.87161827,-39.7857666,-1.853851318
1.415032583,-15.52796745,-39.10990906,-0.384674072
1.745496583,-17.55055809,-38.72648621,2.529418945
2.075959292,-18.48201561,-38.81427002,4.356628418
2.406423292,-15.04829216,-39.91998291,5.765869141
2.736887292,-23.03102684,-35.41808319,7.615386963
3.067351458,-20.23447609,-37.58825684,7.061157227
3.397814458,-23.66607475,-33.35227966,14.9515686
3.728278458,-24.76269341,-32.20199585,16.75448608
4.058742542,-21.4027195,-35.93138885,11.02441406
4.389206542,-21.72072411,-36.36245728,5.866363525
4.719669542,-20.26460838,-37.6565094,2.536590576
5.050137667,-18.94995689,-38.21762085,4.088104248
5.380600667,-20.19451714,-38.10240173,2.247772217
5.711064667,-23.60773659,-33.90505219,13.4045105
6.041524917,-25.09246635,-28.57637787,22.6895752
6.371987917,-22.31036568,-26.93312073,28.37661743
6.702451917,-24.22239876,-17.96730042,33.44754028
7.032914792,-24.62958717,-19.82508087,32.21261597
7.363378792,-24.70499992,-25.17127228,27.00863647
7.693841792,-27.3529644,-32.04417419,8.215942383
8.024304042,-25.5981884,-34.13869476,7.242462158
8.354767042,-26.12393761,-33.35321045,8.084259033
8.685230042,-25.18557549,-33.63063812,7.718566895
9.015692708,-23.21029091,-35.27642822,7.460876465
9.346155708,-20.75802422,-37.2324295,4.668487549
9.676617708,-20.62065315,-37.01893616,4.697723389
10.00707929,-23.26015282,-27.93559265,25.72680664
10.33754229,-28.72443199,-17.78860474,29.57983398
10.66800429,-36.28658295,-6.532096863,24.31237793
10.99846671,-26.85275078,-30.81787109,15.67727661
11.32892871,-18.26729393,-38.39019775,5.532409668
11.65939071,-15.95971489,-39.39468384,6.407989502
11.98985254,-15.16183281,-39.77009583,7.144226074
12.32031454,-15.60071373,-39.17012024,7.208770752
12.65077654,-15.38276863,-39.04824829,10.0138855
12.98123817,-18.22289467,-37.75177002,10.29156494
13.31170017,-20.44290733,-36.82671356,9.745635986
13.64216217,-26.16933632,-31.2744751,15.3972168
13.97262504,-33.71607208,-17.90917206,22.98995972
14.30308604,-38.44250488,-2.919929504,20.67102051
14.63354804,-35.17657471,-8.660316467,24.69369507
14.96400954,-17.2526226,-36.88716888,15.57473755
15.29447154,-12.05093956,-40.66023254,8.438598633
15.62493354,-15.27664375,-39.50285339,9.182403564
15.95539642,-14.59127617,-39.74134827,10.63088989
16.28585842,-14.55371284,-38.76644897,13.90142822
16.61632042,-19.3608532,-35.88826752,17.07290649
16.94678129,-21.4200573,-33.835289,18.37731934
17.27724229,-23.26258278,-32.08945465,20.53457642
17.60770429,-21.8047657,-32.47501373,20.24758911
17.93816629,-18.87877464,-33.76839447,21.4414978
18.26862821,-17.97612572,-34.3553009,21.03448486
18.59909021,-18.6735096,-34.50924683,21.08297729
18.92955121,-30.22069359,-23.72454071,22.38552856
19.26001404,-37.57488251,-13.04897308,18.78326416
19.59047604,-19.675951,-32.47336578,24.25576782
19.92093804,-14.82085609,-37.90438843,17.03683472
20.25139817,-14.67543221,-39.00450134,14.18649292
20.58186017,-16.10540199,-38.5657196,13.80001831
20.91232217,-17.29311562,-37.95620728,14.30264282
21.24278367,-17.13042641,-37.78225708,14.49899292
21.57324567,-16.50627327,-38.59220886,14.82006836
21.90370667,-15.83574104,-38.64622498,14.38354492
22.23416854,-15.12815285,-38.82673645,13.75488281
22.56463054,-14.8554287,-39.10928345,14.12493896
22.89509154,-14.18119621,-38.57757568,15.20535278
23.22555379,-14.50526237,-38.87315369,15.29638672
23.55601579,-14.8553524,-38.68945313,15.45617676
23.88647679,-16.7629528,-37.76268768,16.59643555
24.21693854,-16.71310997,-37.5247345,16.44622803
24.54739954,-17.31191063,-37.32649231,15.84396362
24.87786154,-17.13239861,-37.46204376,15.88137817
25.20832392,-18.35301781,-36.24642181,17.53799438
25.53878492,-17.6270237,-36.88990784,17.05029297
25.86924592,-16.99746513,-37.05220032,16.86251831
26.19970779,-16.99488258,-36.99726105,16.85211182
26.53016879,-16.92673683,-36.7722702,17.68685913
26.86062979,-17.26262093,-36.69913483,18.14093018
27.19109096,-17.48075294,-36.50741577,17.5977478
27.52155296,-18.61125755,-34.69335175,21.40768433
27.85201296,-27.6735096,-24.65830231,25.75405884
28.18247767,-32.28199768,-19.39783478,23.92434692
28.51293867,-28.17439461,-24.09696198,25.60177612
28.84339967,-22.42142296,-31.68358612,21.76931763
29.17385508,-20.98740196,-33.99803162,19.4881897
29.50431608,-17.47210121,-38.29153442,11.88519287
29.83477608,-14.76439476,-39.93351746,7.59362793
30.16523783,-14.08285713,-39.87928772,8.379119873
30.49569783,-14.4161396,-40.06237793,4.453033447
30.82615783,-16.20495033,-39.06758118,-0.364227295
31.15661729,-14.49997139,-40.09957886,2.640167236
31.48707829,-15.52808189,-38.98672485,13.24493408
31.81753829,-15.2922802,-38.61326599,15.04373169
32.14799842,-14.98423958,-38.84669495,14.44958496
32.47845842,-15.43791008,-38.68739319,14.50836182
32.80891742,-16.48976707,-38.33744812,15.29309082
33.13937746,-18.45379829,-37.53144836,14.54217529
33.46983746,-18.33805656,-37.73995972,13.44995117
33.80029746,-17.52224541,-38.22175598,12.54067993
34.13075729,-15.28530312,-38.93786621,12.1786499
34.46121629,-12.48129082,-40.05804443,12.38464355
34.79167629,-12.80125618,-39.59860229,11.25802612
35.12213596,-14.02925682,-39.55995178,10.0657959
35.45259496,-12.51629066,-40.27908325,9.581634521
35.78305496,-12.94147301,-40.16316223,9.773254395
36.11351454,-13.18255043,-40.32743835,11.19235229
36.44397454,-12.92722511,-39.98982239,11.2215271
36.77443354,-12.8530407,-39.8210144,12.19659424
37.10489279,-10.87793541,-40.07707214,13.37194824
37.43535179,-7.986766815,-41.78285217,3.91809082
37.76581179,-11.29913902,-40.07896423,-5.595245361
38.09627079,-9.92596817,-40.39855957,-4.782897949
38.42672979,-8.915643692,-41.72941589,4.555145264
38.75718879,-17.88193703,-36.22205353,17.83773804
39.08764729,-17.91305351,-36.58144379,17.7991333
39.41810629,-15.95753288,-38.98805237,11.08868408
39.74856529,-17.53711128,-38.18551636,12.72711182
40.07902483,-15.89595604,-39.923172,4.79864502
40.40948383,-17.06960487,-38.32235718,13.50180054
40.73994283,-14.15279579,-40.16931152,-1.892364502
41.07040146,-17.71962547,-36.29969025,17.99417114
41.40086046,-14.00504875,-40.62176514,3.388244629
41.73131846,-6.488355637,-42.25036621,-0.654846191
42.06177842,-14.63200188,-40.13287354,8.304962158
42.39223742,-11.76960564,-40.26107788,11.96072388
42.72269542,-11.32918358,-40.33415222,12.08703613
43.05315321,-10.37758064,-41.06939697,12.38861084
43.38361121,-9.157495499,-39.48841858,16.99349976
43.71407021,-13.82892418,-39.17333984,14.89840698
44.04452871,-18.49408913,-37.45180511,13.85552979
44.37498671,-19.55646324,-36.77423859,13.62619019
44.70544571,-20.34313393,-36.87324524,13.0692749
45.03590317,-19.54234123,-37.16977692,11.79370117
45.36636117,-19.63950157,-37.27179718,12.62414551
45.69681917,-18.49896812,-37.5490036,13.25958252
46.02727792,-18.2401638,-37.76677704,13.81387329
46.35773692,-17.54960442,-37.79310608,13.88308716
46.68819492,-15.85764885,-38.80735779,13.73654175
47.01865592,-16.65831947,-38.29197693,13.70199585
47.34911292,-16.48722649,-37.9642334,14.27301025
47.67957092,-16.61602592,-37.64740753,16.58084106
48.01002546,-19.34827995,-36.20452881,16.95114136
48.34048346,-28.31265831,-27.46527863,21.16168213
48.67094146,-34.40752411,-13.3037796,24.95947266
49.00140396,-39.1136322,6.240501404,17.20095825
49.33186096,-38.44760895,12.55661774,9.70022583
49.66231896,-37.45787048,15.75228119,6.304138184
49.99277208,-37.38040161,15.10806274,6.546112061
50.32322908,-38.41807556,10.46190643,11.96911621
50.65368708,-32.07958984,-14.42481995,27.0831604
50.98414479,-26.37528419,-24.58689117,26.40673828
51.31460179,-28.12090111,-24.12626648,24.49981689
51.64505979,-29.71406364,-21.01013184,25.3425293
51.97551679,-20.33366203,-29.82673645,26.44494629
52.30597833,-11.67095757,-37.00630188,21.90722656
52.63643533,-10.48813438,-38.84162903,17.94360352
52.96689233,-9.449018478,-40.87922668,13.44833374
53.29734508,-13.01150322,-39.88157654,11.890625
53.62780208,-20.46425056,-37.62409973,8.319854736
53.95825908,-20.9084301,-37.41156769,7.364227295
54.28871667,-21.81779671,-36.86121368,6.90927124
54.61917367,-22.75165749,-36.29508209,7.207702637
54.94963067,-21.0698452,-37.80291748,5.907775879
55.28008708,-20.87354469,-37.29540253,5.980773926
55.61054408,-23.45577431,-35.65784454,4.662139893
55.94100108,-21.53663826,-36.83252716,7.585388184
56.27145808,-22.62758827,-35.80079651,5.771697998
56.60191508,-26.72122002,-33.2564621,5.001678467
56.93237208,-28.14903831,-32.45280457,3.88168335
57.26282917,-27.32579994,-32.9080658,8.019744873
57.59328617,-27.45128059,-32.52201843,9.459686279
57.92374317,-26.03797722,-33.52319336,9.068572998
58.25419904,-21.06548882,-37.23617554,7.474304199
58.58465604,-19.52100182,-38.19506836,6.904876709
58.91511204,-19.78293037,-37.56069946,9.245788574
59.24556929,-20.851511,-36.85158539,8.928100586
59.57602529,-19.60625648,-38.12623596,6.698303223
59.90648229,-18.98090172,-38.33209229,7.113983154
60.23693754,-18.56985283,-38.06303406,9.672943115
60.56739454,-18.46149635,-37.96672058,9.033721924
60.89785054,-17.58806038,-38.54530334,9.029022217
61.22830646,-17.03291512,-38.81324768,9.573486328
61.55876346,-18.81015205,-38.07557678,10.50018311
61.88921946,-21.3380909,-36.51934052,10.29663086
62.21967917,-22.83979607,-35.72411346,8.013885498
62.55013517,-21.71402931,-36.56157684,9.655059814
62.88059217,-19.47234154,-37.79910278,9.154449463
63.21104446,-17.28308296,-38.11242676,10.52960205
63.54150046,-18.36610222,-38.06077576,9.35333252
63.87195646,-17.46594429,-38.7059021,8.495330811
64.20241242,-16.2400074,-38.8303833,8.060302734
64.53286842,-17.78742409,-38.27856445,9.914978027
64.86332442,-20.0929203,-37.1254425,9.868225098
65.19378042,-20.87386894,-36.97947693,7.695953369
65.52423642,-18.79714012,-37.81343079,9.245239258
65.85469242,-17.79807091,-38.35604858,8.559539795
66.18514692,-17.998106,-38.13433838,9.2890625
66.51560292,-17.66790962,-38.30249023,9.450317383
66.84605892,-17.05789757,-38.35186768,9.959136963
67.17651533,-17.02456856,-38.48895264,9.323791504
67.50697133,-16.65516853,-38.56971741,9.96484375
67.83742633,-15.95892143,-38.61296082,9.326416016
68.16788204,-17.02057838,-38.70678711,9.227722168
68.49833804,-16.86136055,-38.58726501,9.07913208
68.82879304,-16.35508919,-39.067276,8.179962158
69.15924946,-16.67461205,-39.05467224,8.677978516
69.48970446,-15.67650414,-38.98451233,9.067352295
69.82016046,-17.02771568,-38.36006165,9.541717529
70.15061542,-18.45026207,-38.07492065,10.05795288
70.48107142,-22.33902168,-36.03483582,7.819641113
70.81152642,-23.69856834,-34.80791473,7.25958252
71.14198271,-23.52282143,-35.21984863,7.871276855
71.47243771,-23.22572136,-35.40296173,7.771942139
71.80289271,-24.23900795,-34.97257996,8.187225342
72.13334808,-25.08347893,-33.98738861,8.511932373
72.46380308,-24.58458519,-34.66390228,9.739044189
72.79425908,-24.92024422,-34.20787811,9.676269531
73.12471404,-24.79821968,-34.41021729,9.420379639
73.45516904,-24.36478996,-34.5719223,9.08770752
73.78562404,-24.57404137,-34.44908142,9.665710449
74.11607921,-24.65344048,-34.23324585,9.540618896
74.44653521,-24.94408989,-34.28945923,8.92364502
74.77699021,-24.33316994,-34.62989807,8.272003174
75.10744483,-24.05425072,-35.20787811,8.301116943
75.43789983,-23.92700768,-34.90011597,9.602752686
75.76835483,-24.03183937,-34.55240631,9.977386475
76.09881083,-24.27766228,-34.73418427,9.633453369
76.42926583,-24.46933937,-34.3371048,8.794250488
76.75972083,-25.19945335,-34.1089859,8.00088501
77.09017554,-26.16934395,-33.32517242,7.56060791
77.42063054,-25.20409966,-33.93463898,8.293121338
77.75108554,-21.30854988,-36.61082458,9.662719727
78.08154033,-18.40072441,-38.51521301,6.998718262
78.41199533,-18.90402794,-37.89743042,8.028747559
78.74245033,-19.92909813,-37.46164703,6.84161377
79.07290554,-19.37817955,-37.87417603,8.417175293
79.40336054,-19.97267723,-37.60517883,9.251708984
79.73381554,-19.8172245,-36.41921997,13.21746826
80.06426892,-23.80564308,-34.19985199,13.02716064
80.39472392,-22.11046791,-35.8323288,11.62234497
80.72517892,-20.07829475,-36.05596161,14.39746094
81.05563404,-20.53915977,-34.26435852,18.99581909
81.38608904,-20.15263557,-31.21697998,24.92312622
81.71654304,-16.40667534,-27.22541046,32.4302063
82.04699883,-18.49813271,-25.03766632,33.33389282
82.37745383,-21.75171089,-22.3082428,33.08752441
82.70790883,-26.80010033,-26.60822296,23.70770264
83.03836296,-28.62461281,-26.00317383,21.96633911
83.36881796,-28.4949894,-20.27922821,29.07211304
83.69927296,-31.69085884,-11.8108902,29.88595581
84.02972808,-33.44945526,-5.45224762,28.89343262
84.36018208,-34.01868439,-2.505958557,28.28372192
84.69063708,-33.25718689,-4.320823669,29.45825195
85.02109121,-32.78887939,-7.152046204,28.52944946
85.35154521,-24.0061779,-24.89632416,28.29092407
85.68200021,-15.62154961,-37.39933014,16.76675415
86.01245446,-14.57879066,-38.29629517,15.30059814
86.34290946,-14.56540489,-38.38764954,14.61956787
86.67336346,-13.93993568,-39.13768005,14.96398926
87.00381846,-14.03611183,-38.24679565,16.47918701
87.33427346,-19.4190464,-31.95152283,24.853302
87.66472846,-16.32687569,-34.67970276,21.8934021
87.99518246,-15.05388451,-37.17961884,18.18045044
88.32563617,-13.56633186,-38.32533264,16.50637817
88.65609017,-13.31738091,-38.10598755,17.46618652
88.98654517,-12.05919456,-38.57583618,17.33938599
89.31699933,-9.701400757,-39.61399841,16.38616943
89.64745333,-8.833147049,-40.29220581,14.50018311
89.97790833,-8.459478378,-40.0958252,14.9616394
90.30836246,-9.412733078,-39.75541687,15.634552
90.63881646,-12.26281166,-37.91059875,18.39007568
90.96927046,-15.13081551,-35.90352631,20.73822021
91.29972596,-19.31537056,-32.77256012,23.34573364
91.63017996,-21.52820396,-29.89774323,25.32241821
91.96063396,-20.92093086,-29.93942261,26.1126709
92.29108917,-19.82480431,-31.76170349,25.03561401
92.62154317,-17.46540642,-34.32937622,22.58706665
92.95199717,-16.36305428,-38.29191589,15.10186768
93.28245042,-15.70572853,-38.74763489,12.22146606
93.61290442,-17.89933586,-38.061203,12.10769653
93.94335842,-19.03600502,-37.16845703,12.18334961
94.27381342,-20.76299477,-36.7374649,11.62915039
94.60426742,-23.03159904,-35.24638367,10.17227173
94.93472142,-21.69324303,-36.17620087,10.6937561
95.26517567,-20.22122765,-35.22987366,17.53390503
95.59562967,-19.96720695,-31.47392273,24.78372192
95.92608367,-18.7087307,-33.79518127,22.72665405
96.25653817,-18.04252052,-37.16958618,14.12158203
96.58699217,-18.01080513,-37.69558716,13.08432007
96.91744617,-19.4530735,-36.96021271,12.6842041
97.24789908,-17.43869209,-38.27272034,12.40264893
97.57835408,-17.78656197,-37.49112701,12.78027344
97.90880808,-20.76938057,-36.560112,12.33798218
98.23926267,-21.72122765,-36.07305908,10.41113281
98.56971667,-19.26375008,-37.4176178,10.26504517
98.90017067,-17.92698479,-37.96199036,10.44021606
99.23062546,-16.36060905,-38.33328247,11.30493164
99.56107946,-16.15091896,-38.53361511,11.4168396
99.89153346,-16.97912407,-37.88146973,13.66830444
100.2219861,-17.38571739,-37.85752869,13.80056763
100.5524401,-14.70732307,-38.89308167,13.13119507
100.8828941,-14.29508781,-39.00164795,13.47171021
101.213349,-14.227705,-38.93183899,13.23803711
101.543803,-13.363451,-38.65472412,14.90533447
101.874257,-15.87262154,-35.76082611,20.97183228
102.2047098,-14.68236351,-36.81977844,19.21426392
102.5351638,-12.49334145,-39.15098572,15.61322021
102.8656178,-13.12439156,-39.29168701,14.20336914
103.1960724,-12.49388695,-39.26757813,14.50540161
103.5265264,-10.84483147,-40.1179657,13.81735229
103.8569804,-10.78748512,-40.040802,14.43395996
104.187435,-13.80779076,-37.823349,18.8210144
104.517889,-16.60521889,-34.95378113,21.86090088
104.848343,-18.8449192,-33.69304657,22.06719971
